threshold,accuracy,precision,recall,f1_score,balanced_accuracy,specificity
0.1,0.977770875921499,0.9771378914421428,0.9998374521509829,0.9883573540214716,0.8039300521727071,0.6080226521944313
0.15000000000000002,0.9783859680030618,0.9777783985967043,0.9998185418814189,0.9886756525136526,0.8095398244362937,0.6192611069911683
0.20000000000000004,0.9789494227246909,0.9783692631635312,0.9997976198810504,0.988967380922058,0.8147070078775576,0.6296163958740646
0.25000000000000006,0.9792964561583627,0.9787440956915485,0.9997734791113944,0.9891470282307037,0.8179781573403665,0.6361828355693386
0.30000000000000004,0.9794923743769345,0.9789721191070361,0.9997424984570025,0.9892482964326608,0.8199615883372453,0.640180678217488
0.3500000000000001,0.979633997430282,0.9791609442677425,0.9996946192638514,0.9893212475101857,0.8215961129758211,0.6434976066877908
0.40000000000000013,0.9797684064406975,0.9793497057250288,0.9996390954936425,0.9893903931139599,0.8232268153258679,0.6468145351580934
0.45000000000000007,0.9798735795929153,0.9795156297066148,0.9995763294925368,0.9894443088121143,0.8246550156867389,0.6497337018809412
0.5000000000000001,0.9800554494120934,0.9797543817719234,0.9995191963376843,0.9895381043911122,0.8267197545768513,0.6539203128160184
0.5500000000000002,0.9813205647304681,0.9811153973910787,0.9994431529132678,0.9901944741695339,0.8385505389052282,0.6776579248971887
0.6000000000000002,0.9814420644009003,0.9813162279095439,0.9993618789887593,0.9902568478848707,0.8402694920461224,0.6811771051034855
0.6500000000000001,0.9817587229169641,0.9817177316105132,0.9992793980257678,0.9904207221694393,0.8437305774595906,0.6881817568934133
0.7000000000000002,0.9819834973072635,0.9823735673552279,0.998829977364005,0.9905334266737078,0.8492666707422736,0.699703364120542
0.7500000000000002,0.9819827379343233,0.9825396793979855,0.998654152091677,0.9905313804534155,0.8506450831920664,0.702636014292456
0.8000000000000002,0.9819371755579113,0.9827467735349669,0.998386994240817,0.9905051473944491,0.8523452533396494,0.7063035124384818
0.8500000000000002,0.982102339172405,0.9832491808711108,0.9980369530808048,0.9905878810532436,0.8565692080175142,0.7151014629542237
0.9000000000000002,0.9800683587520769,0.9835954261988975,0.9954816526127153,0.9895028453997787,0.8586421948764378,0.7218027371401604
